label,model,split,test_balanced_accuracy,test_auc,test_average_precision,test_mcc,test_accuracy,ht_recall,ht_precision,ht_f1,wt_f1,test_macro_f1,epochs_trained,total_params,num_test,ht_support,wt_support,cv_folds,ht_class_index,results_dir
F_regsmall__cnn1d__dependent,cnn1d,dependent,0.512531328320802,0.5881370091896407,0.33866223271306656,0.02462426843924178,0.6463414634146342,0.2631578947368421,0.25,0.2564102564102564,0.768,0.5122051282051282,22,86041,82,19,63,,1,results/neural_networks/experiments/F_regsmall__cnn1d__dependent
G_augment__cnn1d__dependent,cnn1d,dependent,0.5208855472013367,0.5873015873015873,0.33117661595369163,0.06767690787811048,0.7439024390243902,0.10526315789473684,0.3333333333333333,0.16,0.8489208633093526,0.5044604316546762,24,86041,82,19,63,,1,results/neural_networks/experiments/G_augment__cnn1d__dependent
A_control__cnn1d__independent,cnn1d,independent,0.5170496664195701,0.609340252038547,0.36389467134891085,0.030702602920306254,0.6333333333333333,0.3157894736842105,0.23076923076923078,0.26666666666666666,0.7555555555555555,0.5111111111111111,17,86041,90,19,71,,1,results/neural_networks/experiments/A_control__cnn1d__independent
B_beta0.5__cnn1d__independent,cnn1d,independent,0.5240919199406968,0.5322461082283172,0.36600932617945314,0.043901635450809176,0.6444444444444445,0.3157894736842105,0.24,0.2727272727272727,0.7647058823529411,0.5187165775401069,22,86041,90,19,71,,1,results/neural_networks/experiments/B_beta0.5__cnn1d__independent
C_beta0__cnn1d__independent,cnn1d,independent,0.5452186805040771,0.5174203113417346,0.2969841910380655,0.0858792136291005,0.6777777777777778,0.3157894736842105,0.2727272727272727,0.2926829268292683,0.7913669064748201,0.5420249166520442,25,86041,90,19,71,,1,results/neural_networks/experiments/C_beta0__cnn1d__independent
D_sampler__cnn1d__independent,cnn1d,independent,0.5277983691623425,0.5567086730911786,0.3589562063242651,0.060880614497930814,0.7111111111111111,0.21052631578947367,0.26666666666666666,0.23529411764705882,0.821917808219178,0.5286059629331185,17,86041,90,19,71,,1,results/neural_networks/experiments/D_sampler__cnn1d__independent
F_regsmall__cnn1d__independent,cnn1d,independent,0.6067457375833951,0.5389177168272794,0.3348882009286108,0.21781310804693202,0.7444444444444445,0.3684210526315789,0.3888888888888889,0.3783783783783784,0.8391608391608392,0.6087696087696088,22,86041,90,19,71,,1,results/neural_networks/experiments/F_regsmall__cnn1d__independent
G_augment__cnn1d__independent,cnn1d,independent,0.4747961452928095,0.44922164566345435,0.2096740772058449,-0.04297480868055539,0.5666666666666667,0.3157894736842105,0.1875,0.23529411764705882,0.6976744186046512,0.466484268125855,39,86041,90,19,71,,1,results/neural_networks/experiments/G_augment__cnn1d__independent
A_control__transformer__dependent,transformer,dependent,0.6675020885547202,0.6549707602339182,0.34997389607541984,0.2857684941198756,0.6585365853658537,0.6842105263157895,0.37142857142857144,0.48148148148148145,0.7454545454545455,0.6134680134680135,31,72537,82,19,63,,1,results/neural_networks/experiments/A_control__transformer__dependent
B_beta0.5__transformer__dependent,transformer,dependent,0.5,0.681704260651629,0.35001485158012624,0.0,0.7682926829268293,0.0,0.0,0.0,0.8689655172413793,0.43448275862068964,30,72537,82,19,63,,1,results/neural_networks/experiments/B_beta0.5__transformer__dependent
C_beta0__transformer__dependent,transformer,dependent,0.531328320802005,0.7017543859649122,0.3845364801677328,0.08457295464858736,0.7317073170731707,0.15789473684210525,0.3333333333333333,0.21428571428571427,0.8382352941176471,0.5262605042016807,48,72537,82,19,63,,1,results/neural_networks/experiments/C_beta0__transformer__dependent
D_sampler__transformer__dependent,transformer,dependent,0.5864661654135338,0.6516290726817042,0.341461261295871,0.1887296955734491,0.7317073170731707,0.3157894736842105,0.4,0.35294117647058826,0.8307692307692308,0.5918552036199095,25,72537,82,19,63,,1,results/neural_networks/experiments/D_sampler__transformer__dependent
F_regsmall__transformer__dependent,transformer,dependent,0.5208855472013367,0.772765246449457,0.43174511219697176,0.06767690787811048,0.7439024390243902,0.10526315789473684,0.3333333333333333,0.16,0.8489208633093526,0.5044604316546762,92,39065,82,19,63,,1,results/neural_networks/experiments/F_regsmall__transformer__dependent
A_control__transformer__independent,transformer,independent,0.634173461823573,0.6753150481838399,0.474162156125585,0.22172217264459665,0.5444444444444444,0.7894736842105263,0.28846153846153844,0.4225352112676056,0.6238532110091743,0.52319421113839,29,72537,90,19,71,,1,results/neural_networks/experiments/A_control__transformer__independent
B_beta0.5__transformer__independent,transformer,independent,0.6312083024462565,0.7249814677538917,0.5306295820856943,0.24216964133497745,0.7222222222222222,0.47368421052631576,0.375,0.4186046511627907,0.8175182481751825,0.6180614496689866,33,72537,90,19,71,,1,results/neural_networks/experiments/B_beta0.5__transformer__independent
C_beta0__transformer__independent,transformer,independent,0.5,0.7101556708673091,0.44473548835192445,0.0,0.7888888888888889,0.0,0.0,0.0,0.8819875776397516,0.4409937888198758,22,72537,90,19,71,,1,results/neural_networks/experiments/C_beta0__transformer__independent
D_sampler__transformer__independent,transformer,independent,0.5070422535211268,0.748702742772424,0.5579902817976028,0.054834340282244244,0.2222222222222222,1.0,0.21348314606741572,0.35185185185185186,0.027777777777777776,0.18981481481481483,19,72537,90,19,71,,1,results/neural_networks/experiments/D_sampler__transformer__independent
F_regsmall__transformer__independent,transformer,independent,0.5,0.8146775389177168,0.6164481935634745,0.0,0.7888888888888889,0.0,0.0,0.0,0.8819875776397516,0.4409937888198758,23,39065,90,19,71,,1,results/neural_networks/experiments/F_regsmall__transformer__independent
