run_id,family,model,eval_level,split,scope,test_acc,train_acc,balanced_acc,weighted_f1,wt_precision,wt_recall,wt_f1,ht_precision,ht_recall,ht_f1,auc,avg_precision,mcc,ht_support,wt_support,num_test,threshold,legacy_baseline_acc,source_path
F_regsmall__bilstm__dependent,sequence,bilstm,session,dependent,F_regsmall,0.7805,,0.5263,,,,0.875,1.0,0.0526,0.1,0.6834,0.4259,0.2023,19,63,82,0.5,,results/neural_networks/experiments/_summary/master_metrics.csv
F_regsmall__bilstm__independent,sequence,bilstm,session,independent,F_regsmall,0.6889,,0.5523,,,,0.8,0.2857,0.3158,0.3,0.7005,0.3563,0.1009,19,71,90,0.5,,results/neural_networks/experiments/_summary/master_metrics.csv
F_regsmall__cnn1d__dependent,sequence,cnn1d,session,dependent,F_regsmall,0.6463,,0.5125,,,,0.768,0.25,0.2632,0.2564,0.5881,0.3387,0.0246,19,63,82,0.5,,results/neural_networks/experiments/_summary/master_metrics.csv
F_regsmall__cnn1d__independent,sequence,cnn1d,session,independent,F_regsmall,0.7444,,0.6067,,,,0.8392,0.3889,0.3684,0.3784,0.5389,0.3349,0.2178,19,71,90,0.5,,results/neural_networks/experiments/_summary/master_metrics.csv
F_regsmall__transformer__dependent,sequence,transformer,session,dependent,F_regsmall,0.7439,,0.5209,,,,0.8489,0.3333,0.1053,0.16,0.7728,0.4317,0.0677,19,63,82,0.5,,results/neural_networks/experiments/_summary/master_metrics.csv
F_regsmall__transformer__independent,sequence,transformer,session,independent,F_regsmall,0.7889,,0.5,,,,0.882,0.0,0.0,0.0,0.8147,0.6164,0.0,19,71,90,0.5,,results/neural_networks/experiments/_summary/master_metrics.csv
G_augment__bilstm__dependent,sequence,bilstm,session,dependent,G_augment,0.7073,,0.5706,,,,0.8125,0.3529,0.3158,0.3333,0.6725,0.3778,0.1469,19,63,82,0.5,,results/neural_networks/experiments/_summary/master_metrics.csv
G_augment__bilstm__independent,sequence,bilstm,session,independent,G_augment,0.6444,,0.5819,,,,0.7538,0.2903,0.4737,0.36,0.5812,0.2973,0.1407,19,71,90,0.5,,results/neural_networks/experiments/_summary/master_metrics.csv
G_augment__cnn1d__dependent,sequence,cnn1d,session,dependent,G_augment,0.7439,,0.5209,,,,0.8489,0.3333,0.1053,0.16,0.5873,0.3312,0.0677,19,63,82,0.5,,results/neural_networks/experiments/_summary/master_metrics.csv
G_augment__cnn1d__independent,sequence,cnn1d,session,independent,G_augment,0.5667,,0.4748,,,,0.6977,0.1875,0.3158,0.2353,0.4492,0.2097,-0.043,19,71,90,0.5,,results/neural_networks/experiments/_summary/master_metrics.csv
