model,split,test_accuracy,test_auc,ht_recall,ht_precision,ht_f1,wt_f1,epochs_trained,total_params,num_test,ht_support,wt_support,ht_class_index,results_dir
bilstm,dependent,0.23170731707317074,0.7903091060985798,1.0,0.23170731707317074,0.37623762376237624,0.0,16,148953,82,19,63,1,results/neural_networks/bilstm_subject_eval_dependent_baseline
bilstm,independent,0.45555555555555555,0.7487027427724241,1.0,0.27941176470588236,0.4367816091954023,0.4731182795698925,16,148953,90,19,71,1,results/neural_networks/bilstm_subject_eval_independent_baseline
cnn1d,dependent,0.5,0.6040100250626567,0.6842105263157895,0.2708333333333333,0.3880597014925373,0.5773195876288659,22,86041,82,19,63,1,results/neural_networks/cnn1d_subject_eval_dependent_baseline
cnn1d,independent,0.6333333333333333,0.609340252038547,0.3157894736842105,0.23076923076923078,0.26666666666666666,0.7555555555555555,17,86041,90,19,71,1,results/neural_networks/cnn1d_subject_eval_independent_baseline
transformer,dependent,0.6585365853658537,0.6549707602339182,0.6842105263157895,0.37142857142857144,0.48148148148148145,0.7454545454545455,31,72537,82,19,63,1,results/neural_networks/transformer_subject_eval_dependent_baseline
transformer,independent,0.5444444444444444,0.6753150481838399,0.7894736842105263,0.28846153846153844,0.4225352112676056,0.6238532110091743,29,72537,90,19,71,1,results/neural_networks/transformer_subject_eval_independent_baseline
