trial,max_depth,min_child_weight,learning_rate,reg_lambda,reg_alpha,gamma,subsample,colsample_bytree,cv_balanced_acc,cv_acc,cv_ht_recall,cv_wt_recall,cv_ht_precision,cv_wt_precision,cv_best_iter
167,7,12,0.15,0.5,0.05,2.0,0.9,0.7,0.8162592030754873,0.7694240421198659,0.9087171817037205,0.7238012244472539,0.5198504952495892,0.9611250168105359,50.0
40,8,3,0.05,1.0,1.0,4.0,0.6,0.8,0.8160754540912676,0.7683084234586082,0.9103658072857252,0.7217851008968102,0.5176353917129008,0.961094045245758,90.4
196,6,8,0.02,10.0,0.0,0.5,1.0,0.6,0.8160660456331851,0.7457917182513587,0.954777296118843,0.6773547951475273,0.4929499744954377,0.9790358902589069,196.6
49,8,12,0.08,1.5,0.5,0.1,0.7,0.7,0.8158580176002775,0.7650616494957821,0.916124589111128,0.7155914460894273,0.514415443528135,0.9634889743497922,63.8
97,7,12,0.05,6.0,1.0,2.0,1.0,0.6,0.8158036945791265,0.763947780340289,0.9181703720604016,0.7134370170978516,0.512144726974299,0.963969664951053,113.0
128,6,8,0.05,1.5,0.0,4.0,0.7,0.6,0.815708479343962,0.7502521346543131,0.9449108930970669,0.686506065590857,0.496873039403029,0.9744692989173129,89.8
92,8,3,0.1,10.0,0.05,0.5,1.0,0.5,0.8156375028452849,0.7889009810610855,0.8684175391453511,0.762857466545219,0.5456496990059915,0.9467586061825057,106.4
123,5,3,0.1,3.0,2.0,0.1,0.9,0.8,0.8154963193880841,0.7618170881431878,0.9214617081146855,0.7095309306614824,0.5099771342043906,0.9653337442709932,92.0
8,6,2,0.08,1.0,2.0,4.0,0.7,0.8,0.8154243200306557,0.758367165687458,0.9280494503173035,0.702799189744008,0.5059736033753601,0.9678743106827223,78.4
162,8,1,0.1,1.5,0.2,0.0,0.9,0.6,0.8152830339164054,0.7819025978102363,0.8811738957757667,0.7493921720570442,0.5354353452237914,0.9510955984541528,44.6
